SKU,Name,Technical Name,Category,Sub Category,Product Type,Unit,Base Rate,GST %,HSN Code,Packaging Type,Weight (kg),Packing Size,MOQ Web,MOQ Dist,MOQ Bulk (kg),Status Web,Status Dist,Status Bulk,P Alpha,C Beta,T Gama,Notes
BK-110,Naagpash - Novaluron 5.25% + Indoxacarb 4.5% SC,novaluron 5.25 % + indoxacarb 4.5 %,Pesticide,chemical insecticides,bulk,KG,1315,18,3808,,,,0,0,100,active,not_listed,active,0,0,0,
BK-626,nashak (Fipronil 40% + Imidacloprid 40%),fipronil 40 % + imidacloprid 40 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,5,10,200,active,not_listed,inactive,1.6,10.065,11.665,
BK-1082,NEELCHAKR | Cartap Hydrochloride 4% + Fipronil 0.5% CG,cartap hydrochloride 4 % + fipronil 0.5 %,Pesticide,chemical insecticides,bulk,KG,0,5,3808,,,,0,240,1500,active,not_listed,inactive,25,90,115,
BK-56,neem oil,neem oil,Pesticide,organic insecticides,bulk,KG,65,5,3808,,,,18,50,100,active,not_listed,active,8.5,6.5,15,
NO-001,Neem Oil,Azadirachtin,Pesticide,,liquid,Litre,350,,,,,,,,,active,not_listed,inactive,0,0,0,Organic neem-based pesticide
BK-564,neem oil 10000 ppm,dr neem oil 10000 ppm,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,1,10,200,active,not_listed,inactive,8.5,170,178.5,
BK-999,neem oil 1500gr,azadirachtin 1500 ppm,Pesticide,bulk,bulk,KG,0,5,,,,,0,0,100,active,not_listed,inactive,0,0,0,
BK-561,neem oil 1500ppm,dr neem oil 1500 ppm,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,10,50,250,active,not_listed,inactive,8.5,16.7,25.2,
BK-562,neem oil 3000ppm,dr neem oil 3000 ppm,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,10,25,100,active,not_listed,inactive,15,66.75,81.75,
BK-560,Neem oil 300ppm,dr neem oil 300 ppm,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,10,25,45,active,not_listed,inactive,15,20,35,
BK-571,neem oil 5000ppm,dr neem oil 5000 ppm,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,10,25,200,active,not_listed,inactive,8.5,27.6,36.1,
BK-1045,Neem Powder,azadirachtin 0.03 %,Pesticide,organic insecticides,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,10,40,50,
BK-506,Novaluron 10% EC Ltr,novaluron 10 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,2500,active,not_listed,inactive,40,1600,1640,
BK-890,Novaluron 5.25% + Emamectin benzonate 9 % W/W SC (Aakramak),novaluron 5.25 % + emamectin benzoate 9 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,4.5,35,39.5,
BK-509,OUTBURST - Broflanilide 300 G/L SC Ltr,broflanilide #value! #value!,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,7,active,not_listed,inactive,7.5,11.73,19.23,
BK-119,OZIL (Spiromesifen 22.9% SC),spiromesifen 22.9 %,Pesticide,chemical insecticides,bulk,KG,1150,18,3808,,,,1.25,20,30,active,not_listed,active,4.5,57.5,62,
BK-126,Permethrin Insect Repellent,permethrin,Pesticide,organic pest control,bulk,KG,173,18,3808,,,,0,0,100,active,not_listed,active,15,34.6,49.6,
BK-512,Phenthoate 50% EC,phenthoate 50 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,5,30,150,active,not_listed,inactive,35,45,80,
BK-513,PHORATE 10% CG Kg,phorate 10 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,180,active,not_listed,inactive,18,28,46,
BK-516,Phosphamidon 40% SL Ltr,phosphamidon 40 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,0,active,not_listed,inactive,15,51.75,66.75,
BK-88,Pigeon repellent,captan 70 % + hexaconazole 5 %,Pesticide,organic pest control,bulk,KG,460,18,3808,,,,0.1,10,25,active,not_listed,active,8.5,46,54.5,
BK-102,PINK BOLLWORM lure,,Pesticide,traps & lures,bulk,KG,13,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-1056,Profenofos 50% + Bifenthrin 10% + Tolfenpyrad 15% + Fipronil 3 %,profenofos 50 % + bifenthrin 10 % + tolfenpyrad 15 % + fipronil 3.0 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-1057,Profenophos 50% EC,profenofos 50 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,450,active,not_listed,inactive,0,0,0,
BK-654,Propcyp,profenofos 40 % + cypermethrin 4 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,50,50,200,active,not_listed,inactive,22.5,90,112.5,
BK-587,Propox 80 (propoxur 80% WP),propoxur 80 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,100,100,active,not_listed,inactive,50,10000,10050,
BK-505,propoxur 1.0 % Kg,propoxur 1 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,50,200,active,not_listed,inactive,10,25,35,
BK-549,Propoxur 20% Ec,propoxur 20 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,10,50,500,active,not_listed,inactive,40,180,220,
BK-1152,Prupex - Profenofos 50%,profenofos 50 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,0,active,not_listed,inactive,125,1200,1325,
BK-53,Pyrethrin,pyrethrum extract 2 %,Pesticide,organic pest control,bulk,KG,345,18,3808,,,,25,50,100,active,not_listed,active,8.5,34.5,43,
BK-566,Quinalphos 1.5% Dp Insecticide Powder kg,quinalphos 1.5 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,1000,1000,1000,active,not_listed,inactive,50,375,425,
BK-895,Quinalphos 25 % EC,quinalphos 25 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,100,100,75,active,not_listed,inactive,40,180,220,
BK-98,Red Palm Weevil Lure (RHYNCHOPHORUS FERRUGINEUS),,Pesticide,traps & lures,bulk,KG,81,18,3808,,,,0,90,0,active,not_listed,inactive,0,0,0,
BK-1083,SAMHARAK | Cartap Hydrochloride 7.5% + Emamectin Benzoate 0.25% GR,cartap hydrochloride 7.5 % + emamectin benzoate 0.25 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,150,150,300,active,not_listed,inactive,25,435,460,
BK-123,Sarvashakti,plant extracts + essential organic oil,Pesticide,organic insecticides,bulk,KG,575,5,3808,,,,5,20,100,active,not_listed,active,8.5,57.5,66,
BK-109,Shivi - Fenpropathrin 30 % EC,fenpropathrin 30 %,Pesticide,chemical insecticides,bulk,KG,345,18,3808,,,,0,0,200,active,not_listed,active,15,86.25,101.25,
BK-1080,Snake Repellent granules Kg,naphthalene 40 %,Pesticide,organic pest control,bulk,KG,0,18,3808,,,,0,0,0,active,not_listed,inactive,50,480,530,
BK-84,Snake Repellent Powder,naphthalene 40 % + sulphur 30 %,Pesticide,organic pest control,bulk,KG,40,18,3808,,,,4.5,50,100,active,not_listed,active,15,36,51,
BK-958,SOIL PRIME | Fluopyram 34.48 % w/w SC,fluopyrum 34.48 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,12.5,15,100,active,not_listed,inactive,8.5,120,128.5,
BK-83,Spino25,spinosad 2.5 %,Pesticide,chemical insecticides,bulk,KG,400,18,3808,,,,5,50,200,active,not_listed,active,8.5,40,48.5,
BK-853,Spino45,spinosad 45 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,1.5,6.5,100,active,not_listed,inactive,4.5,126.5,131,
BK-798,Spinosad 20 % SC,spinosad 20 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-1054,Stopamite (Propargite 42% + Hexythiazox 2% EC),propargite 42 % + hexythiazox 2 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,30,75,active,not_listed,inactive,16,46.4,62.4,
BK-856,Temephos 50 ec,temephos 50 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,25,50,200,active,not_listed,inactive,8.5,32.2,40.7,
BK-855,THIAMETHOXAM 0.9% + FIPRONIL 0.2% GR (THIONIL),thiamethoxam 0.9 % + fipronil 0.2 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,100,200,200,active,not_listed,inactive,3.2,2.9,6.1,
BK-883,Thiamethoxam 30% FS,thiamethoxam 30 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,10,50,200,active,not_listed,inactive,4.5,10.5,15,
BK-81,THIAMETHOXAM 75%w/WSG,thiamethoxam 75 %,Pesticide,chemical insecticides,bulk,KG,500,18,3808,,,,0,30,25,active,not_listed,active,3.2,50,53.2,
BK-76,Thioxam,thiamethoxam 25 %,Pesticide,chemical insecticides,bulk,KG,196,18,3808,,,,35,50,500,active,not_listed,active,1.128,0.98,2.108,
BK-585,Thioxam Super plus (THIAMETHOXAM 70% W.S),thiamethoxam 70 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,10,30,50,active,not_listed,inactive,3.2,55,58.2,
BK-99,Tobacco Caterpillar Lure (SPODOPTERA LITURA),,Pesticide,traps & lures,bulk,KG,15,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-897,Triazophos 35% + deltamethrin 1%,triazophos 35 % + deltamethrin 1 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,100,active,not_listed,inactive,40,180,220,
BK-511,Triazophos 40% EC,triazophos 40 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,200,active,not_listed,inactive,40,180,220,
BK-946,TwinGuard FS | Cyantraniliprole 19.8% + Thiamethoxam 19.8% w/w FS,cyantraniliprole 19.8 % + thiamethoxam 19.8 %,Pesticide,chemical insecticides,bulk,KG,0,18,3808,,,,0,0,6,active,not_listed,inactive,21,2000,2021,
BK-121,VASISHTA (Thiamethoxam 1% + Chlorantraniliprole 0.5%),thiamethoxam 1 % + chlorantraniliprole 0.5 %,Pesticide,chemical insecticides,bulk,KG,29,18,3808,,,,20,50,1000,active,not_listed,active,30,29,59,
BK-100,White Grub Lure (HOLOTRICHIA CONSANGUINEA/SERRATA),,Pesticide,traps & lures,bulk,KG,36,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-624,wild animal repllent,wild animal repllent,Pesticide,organic insecticides,bulk,KG,0,18,3808,,,,10,50,500,active,not_listed,inactive,15,35,50,
BK-101,Yellow Stem Borer Lure (SCIRPOPHAGA INCERTULAS),,Pesticide,traps & lures,bulk,KG,15,18,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-124,yellow traps (30 x 12),,Pesticide,traps & lures,bulk,KG,10,18,3808,,,,0,0,150,active,not_listed,active,0,0,0,
BK-690,Borage,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1097,Brinjal (Pusa purple long)  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1099,Careopsis Seed  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-281,Carrot Nantes Seeds (Improved)_Microgreen Seeds Kg,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1102,Clery Tall Utah  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1101,Guzania Sunshine Mix  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-712,Mizuna Green (MG),,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1098,Morning Glory Mix  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-287,Mustard Leaves Seeds_Microgreen Seeds Kg,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1100,Pokchoy Green  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-729,Swiss Chard Green (MG),,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-1096,Swiss Chard Red  seeds,,seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,not_listed,not_listed,inactive,0,0,0,
BK-195,Aboli Pink Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-326,Acacia Catechu Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-324,Acacia Mangium Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-177,Ageratum Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,138863,5,3808,,,,0,0,0,active,not_listed,inactive,3,1388.63,1391.63,
BK-320,Alfalfa Seeds (Lucerne Grass)_Tree and Grass seeds,,Seeds,seeds,bulk,KG,604,5,3808,,,,0,0,0,active,not_listed,inactive,3,6.04,9.04,
BK-179,Alyssum Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,22677,5,3808,,,,0,0,0,active,not_listed,inactive,3,226.77,229.77,
BK-285,Amaranth Seeds (Chawli Bhaji)_Microgreen Seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-256,Amaranth Seeds (Chawli Bhaji)_Vegitable Seed,,Seeds,seeds,bulk,KG,2820,5,3808,,,,0,0,0,active,not_listed,inactive,3,28.2,31.2,
BK-205,Amaranthus Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,2820,5,3808,,,,0,0,0,active,not_listed,inactive,3,28.2,31.2,
BK-200,Antirrhinum Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,13259,5,3808,,,,0,0,0,active,not_listed,inactive,3,132.59,135.59,
BK-184,Apollo Gladiolus Bulbs_Flowering Seed,,Seeds,seeds,bulk,KG,6038,5,3808,,,,0,0,0,active,not_listed,inactive,3,60.38,63.38,
BK-268,Artichoke Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-291,Arugula Seeds (Rocket Leaves)_Herb seeds,,Seeds,seeds,bulk,KG,2898,5,3808,,,,0,0,0,active,not_listed,inactive,3,28.98,31.98,
BK-239,Ash Gourd Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,9660,5,3808,,,,0,0,0,active,not_listed,inactive,3,96.6,99.6,
BK-275,Asparagus Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-559,Aster Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,16302,5,3808,,,,0,0,0,active,not_listed,inactive,3,163.02,166.02,
BK-167,Balsam Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,604,5,3808,,,,0,0,0,active,not_listed,inactive,3,6.04,9.04,
BK-278,Beetroot Seeds_Microgreen Seeds,,Seeds,seeds,bulk,KG,3220,5,3808,,,,0,0,0,active,not_listed,inactive,3,32.2,35.2,
BK-217,Beetroot Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,3623,5,3808,,,,0,0,0,active,not_listed,inactive,3,36.23,39.23,
BK-228,Bittergourd Seeds (Green Long)_Vegitable Seed,,Seeds,seeds,bulk,KG,3623,5,3808,,,,0,0,0,active,not_listed,inactive,3,36.23,39.23,
BK-250,Black Brinjal Seeds (Long)_Vegitable Seed,,Seeds,seeds,bulk,KG,1820,5,3808,,,,0,0,0,active,not_listed,inactive,3,18.2,21.2,
BK-238,Black Brinjal Seeds (Round)_Vegitable Seed,,Seeds,seeds,bulk,KG,2295,5,3808,,,,0,0,0,active,not_listed,inactive,3,22.95,25.95,
BK-220,Bottlegourd Seeds (Long)_Vegitable Seed,,Seeds,seeds,bulk,KG,1320,5,3808,,,,0,0,0,active,not_listed,inactive,3,13.2,16.2,
BK-230,Brinjal Banarshi Giant Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-263,Brinjal Kateri Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-259,Brinjal Muktakeshi Giant Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-264,Broad Bean Seeds (Surti Papdi)_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-277,Broccoli Seeds_Microgreen Seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-212,Broccoli Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-242,Cabbage Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,7220,5,3808,,,,0,0,0,active,not_listed,inactive,3,72.2,75.2,
BK-173,Calendula Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-194,Candytuft Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,4830,5,3808,,,,0,0,0,active,not_listed,inactive,3,48.3,51.3,
BK-306,Cantaloupe Seeds (Muskmelon)_Fruit seeds,,Seeds,seeds,bulk,KG,6642,5,3808,,,,0,0,0,active,not_listed,inactive,3,66.42,69.42,
BK-215,Capsicum Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,108675,5,3808,,,,0,0,0,active,not_listed,inactive,3,1086.75,1089.75,
BK-172,Carnation Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,9660,5,3808,,,,0,0,0,active,not_listed,inactive,3,96.6,99.6,
BK-232,Carrot Nantes Seeds (Improved)_Vegitable Seed,,Seeds,seeds,bulk,KG,2657,5,3808,,,,0,0,0,active,not_listed,inactive,3,26.57,29.57,
BK-318,Cassia Grandis Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-310,Cassia Javanica Seeds (Pink Shower Tree) - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-329,Cassia Marginata Seeds Red Shower Tree) - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-314,Cassia Nodosa Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-231,Cauliflower Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,2657,5,3808,,,,0,0,0,active,not_listed,inactive,3,26.57,29.57,
BK-240,Celery Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-191,Celosia Cristata Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,7245,5,3808,,,,0,0,0,active,not_listed,inactive,3,72.45,75.45,
BK-180,Celosia Plumosa Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,6020,5,3808,,,,0,0,0,active,not_listed,inactive,3,60.2,63.2,
BK-235,Cherry Tomatoes Seeds (Yellow)_Vegitable Seed,,Seeds,seeds,bulk,KG,48300,5,3808,,,,0,0,0,active,not_listed,inactive,3,483,486,
BK-301,Chervil Seeds_Herb seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-252,Chinese Cabbage Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,14520,5,3808,,,,0,0,0,active,not_listed,inactive,3,145.2,148.2,
BK-297,Chives Seeds_Herb seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-158,Chrysanthemum Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,10264,5,3808,,,,0,0,0,active,not_listed,inactive,3,102.64,105.64,
BK-186,Clarkia Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-201,Cleome Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-244,Cluster Beans Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-193,Coreopsis Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,6642,5,3808,,,,0,0,0,active,not_listed,inactive,3,66.42,69.42,
BK-210,Coriander Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,245,5,3808,,,,0,0,0,active,not_listed,inactive,3,2.45,5.45,
BK-187,Corn Flower Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,6642,5,3808,,,,0,0,0,active,not_listed,inactive,3,66.42,69.42,
BK-161,cosmos mix seeds_Flowering Seed,,Seeds,seeds,bulk,KG,10626,5,3808,,,,0,0,0,active,not_listed,inactive,3,106.26,109.26,
BK-269,Cowpea Seeds (Lobia Beans)_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-321,Creeping Bent Grass - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-159,Dahlia Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,11955,5,3808,,,,0,0,0,active,not_listed,inactive,3,119.55,122.55,
BK-315,Delonix Regia Seeds (Flamboyant Tree) - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-234,Desi Carrot Seeds (Long)_Vegitable Seed,,Seeds,seeds,bulk,KG,785,5,3808,,,,0,0,0,active,not_listed,inactive,3,7.85,10.85,
BK-171,Dianthus Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-294,Dill Leaves Seeds (Suwa)_Herb seeds,,Seeds,seeds,bulk,KG,3321,5,3808,,,,0,0,0,active,not_listed,inactive,3,33.21,36.21,
BK-328,Dodonaea Viscosa Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-307,Doob Grass Seeds (Carpet Lawn)_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-233,Drumstick Seeds (Moringa)_Vegitable Seed,,Seeds,seeds,bulk,KG,3381,5,3808,,,,0,0,0,active,not_listed,inactive,3,33.81,36.81,
BK-317,Eucalyptus Redgum Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-258,Exotic Vegetables Bundle of 5 Packet_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-299,Fennel Seeds_Herb seeds,,Seeds,seeds,bulk,KG,14520,5,3808,,,,0,0,0,active,not_listed,inactive,3,145.2,148.2,
BK-279,Fenugreek Seeds (Methi)_Microgreen Seeds,,Seeds,seeds,bulk,KG,245,5,3808,,,,0,0,0,active,not_listed,inactive,3,2.45,5.45,
BK-218,Fenugreek Seeds (Methi)_Vegitable Seed,,Seeds,seeds,bulk,KG,121,5,3808,,,,0,0,0,active,not_listed,inactive,3,1.21,4.21,
BK-162,Flower Seeds Bundle of 5 Packet_Flowering Seed,,Seeds,bulk,bulk,KG,0,,,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-219,French Bean Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,846,5,3808,,,,0,0,0,active,not_listed,inactive,3,8.46,11.46,
BK-204,Gazania Mix Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,14490,5,3808,,,,0,0,0,active,not_listed,inactive,3,144.9,147.9,
BK-325,Gliricidia Sepium Seeds - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-190,Gomphrena Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,6642,5,3808,,,,0,0,0,active,not_listed,inactive,3,66.42,69.42,
BK-254,Gongura Seeds (Ambadi)_Vegitable Seed,,Seeds,seeds,bulk,KG,20,5,3808,,,,0,0,0,active,not_listed,inactive,3,0.2,3.2,
BK-286,Green Amaranthus Seeds (Green Math)_Microgreen Seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-257,Green Amaranthus Seeds (Green Math)_Vegitable Seed,,Seeds,seeds,bulk,KG,2820,5,3808,,,,0,0,0,active,not_listed,inactive,3,28.2,31.2,
BK-260,Green Brinjal Seeds (Long)_Vegitable Seed,,Seeds,seeds,bulk,KG,1820,5,3808,,,,0,0,0,active,not_listed,inactive,3,18.2,21.2,
BK-211,Green Chillie Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-262,GREEN CUCUMBER_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-227,Green Onion Seeds (Leek)_Vegitable Seed,,Seeds,seeds,bulk,KG,10868,5,3808,,,,0,0,0,active,not_listed,inactive,3,108.68,111.68,
BK-229,Green Peas Seeds_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-274,Green Podded Beans Seeds (Valor)_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-181,Gypsophila Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,6038,5,3808,,,,0,0,0,active,not_listed,inactive,3,60.38,63.38,
BK-206,Helichrysum Seeds_Flowering Seed,,Seeds,seeds,bulk,KG,7849,5,3808,,,,0,0,0,active,not_listed,inactive,3,78.49,81.49,
BK-282,Indian Greens Bundle of 5 Packet_Microgreen Seeds,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-236,Indian Greens Bundle of 5 Packet_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
BK-312,Indian Laburnum Seeds (Cassia Fistula) - 100 g_Tree and Grass seeds,,Seeds,seeds,bulk,KG,480,5,3808,,,,0,0,0,active,not_listed,inactive,5,48,53,
BK-261,Indian Round Gourd Seeds (Tinda)_Vegitable Seed,,Seeds,seeds,bulk,KG,0,5,3808,,,,0,0,0,active,not_listed,inactive,0,0,0,
